"theta";"mu";"sigma";"MaxPStrat";"MaxMStrat"
55;0,1;0,12;107,629996340546;122,769797501408
50;0,01;0,13;107,055812240383;120,287020493296
51;0,01;0,13;107,512931597435;118,963338622362
52;0,01;0,13;107,016425206096;119,871462748877
53;0,01;0,13;107,602943378569;119,134801291068
54;0,01;0,13;106,978276619384;120,627908912988
55;0,01;0,13;107,448848152654;118,405292259698
50;0,02;0,13;108,103119743395;119,765461666092
51;0,02;0,13;107,695654628388;122,149647374271
52;0,02;0,13;107,125558197801;118,009858141556
53;0,02;0,13;108,544620583339;120,579478053093
54;0,02;0,13;107,303387510933;117,370067788191
55;0,02;0,13;107,53987275872;118,607875968758
50;0,03;0,13;106,839819391846;119,594535163416
51;0,03;0,13;107,193493287545;120,741094677208
52;0,03;0,13;107,283896061458;117,486993093733
53;0,03;0,13;107,46122499211;120,212277676373
54;0,03;0,13;107,00149447368;118,421492697276
55;0,03;0,13;107,366508134099;118,755425787227
50;0,04;0,13;107,758294427577;120,900049947372
51;0,04;0,13;107,089873638403;117,808997897235
52;0,04;0,13;107,882885086059;118,532619741058
53;0,04;0,13;107,183310123403;116,403795050175
54;0,04;0,13;107,447192219183;116,720146398736
55;0,04;0,13;106,934252326772;117,942927598529
50;0,05;0,13;107,996139781071;117,082800437952
51;0,05;0,13;108,473816080347;120,41521367289
52;0,05;0,13;107,112847352179;118,259839786768
53;0,05;0,13;107,715208558309;118,639410839836
54;0,05;0,13;107,321875252794;116,997811767077
55;0,05;0,13;107,210965653555;113,300203539338
50;0,06;0,13;107,857663198683;117,321313712289
51;0,06;0,13;106,987771255427;119,806278158366
52;0,06;0,13;107,83227702476;116,586619507028
53;0,06;0,13;108,220592181812;116,942246866401
54;0,06;0,13;107,148895304874;120,871994674846
55;0,06;0,13;107,432536784854;121,052429746226
50;0,07;0,13;107,922870455411;123,644915386821
51;0,07;0,13;107,543977592817;117,954550269673
52;0,07;0,13;108,280248538315;115,254555542687
53;0,07;0,13;107,35289595914;120,22641198905
54;0,07;0,13;106,983713495665;118,053161163944
55;0,07;0,13;107,363341223095;123,347394225904
50;0,08;0,13;107,959455489387;117,792041723407
51;0,08;0,13;107,412830439548;124,264388089623
52;0,08;0,13;107,312286828737;119,832962640828
53;0,08;0,13;107,252853186516;117,880232449024
54;0,08;0,13;107,10436047725;118,986582396844
55;0,08;0,13;107,602230268066;119,0122232452
50;0,09;0,13;107,424924134549;117,952850782095
51;0,09;0,13;107,333967933;121,33858878046
52;0,09;0,13;107,337471104811;118,648032587095
53;0,09;0,13;108,067492803218;117,117270705946
54;0,09;0,13;107,368348862682;118,814796324409
55;0,09;0,13;107,141610083853;121,295724507358
50;0,1;0,13;108,75874171768;120,489513330231
51;0,1;0,13;108,014288967552;118,520814794485
52;0,1;0,13;107,65167367117;121,904890069825
53;0,1;0,13;107,547640112835;116,787455401453
54;0,1;0,13;107,408452263905;121,787260284439
55;0,1;0,13;107,20648251452;118,330624377327
50;0,01;0,14;108,081144289425;120,184111110536
51;0,01;0,14;107,891331440242;121,02276092817
52;0,01;0,14;107,858146802585;120,178203340563
53;0,01;0,14;106,995810470023;117,426581820171
54;0,01;0,14;107,137615404783;118,169217358699
55;0,01;0,14;106,89664895571;119,942658942056
50;0,02;0,14;109,468980799636;121,318435005811
51;0,02;0,14;107,378224806888;117,562900321562
52;0,02;0,14;107,049796784149;121,759145850907
53;0,02;0,14;108,637085826598;117,792544936351
54;0,02;0,14;107,351794185925;119,960320432733
55;0,02;0,14;106,784667391726;122,083333842313
50;0,03;0,14;108,076055828966;124,52124027896
51;0,03;0,14;107,901179046;121,245891717534
52;0,03;0,14;107,140982337191;124,673657425585
53;0,03;0,14;106,763346869857;122,105128359249
54;0,03;0,14;107,439632629045;120,265658256539
55;0,03;0,14;107,037612434174;119,145848875519
50;0,04;0,14;108,24374884775;122,356934341172
51;0,04;0,14;107,574144972441;124,426001814839
52;0,04;0,14;108,270522391901;125,89682969616
53;0,04;0,14;107,290308059165;119,219943523719
54;0,04;0,14;107,291353216703;122,730508711229
55;0,04;0,14;107,43926491215;118,787644465047
50;0,05;0,14;108,28144118752;123,951028480599
51;0,05;0,14;108,129291922258;124,2040643919
52;0,05;0,14;108,258195174973;123,22271289123
53;0,05;0,14;107,789901013825;122,613432948595
54;0,05;0,14;107,356070841074;118,587561141043
55;0,05;0,14;107,699825236919;118,698908432658
50;0,06;0,14;108,408685096379;122,252743119836
51;0,06;0,14;108,066675691978;121,238409939961
52;0,06;0,14;107,912115510028;117,231141339423
53;0,06;0,14;107,912919859389;118,961401263258
54;0,06;0,14;107,295063521777;117,910720658104
55;0,06;0,14;106,870214238258;118,601582900844
50;0,07;0,14;108,011174403424;124,043963925617
51;0,07;0,14;107,841130790116;120,867580594595
52;0,07;0,14;107,566897841214;119,542045161243
53;0,07;0,14;107,976998508068;115,706940016242
54;0,07;0,14;107,409120268545;119,803150735375
55;0,07;0,14;107,188864400462;122,57294749288
50;0,08;0,14;107,812263493327;121,527178778369
51;0,08;0,14;108,149078234695;124,54986510012
52;0,08;0,14;107,467694120406;121,256835632148
53;0,08;0,14;107,76523731768;118,592675489248
54;0,08;0,14;107,610657459625;120,103187593686
55;0,08;0,14;107,23552337182;120,400059532786
50;0,09;0,14;108,340139752771;120,372105644346
51;0,09;0,14;107,55086241061;120,639158694144
52;0,09;0,14;107,310263238353;122,797607139939
53;0,09;0,14;108,493375639513;118,788132711128
54;0,09;0,14;107,533702237804;124,100511631764
55;0,09;0,14;107,425606356575;122,648159841011
50;0,1;0,14;108,597375025631;119,468933042341
51;0,1;0,14;107,702344905641;120,767303340389
52;0,1;0,14;108,067019828384;120,191559032448
53;0,1;0,14;107,546854887245;120,914681854293
54;0,1;0,14;107,861163976992;120,996380416143
55;0,1;0,14;108,161841603045;123,957122405813
50;0,01;0,15;108,146604217198;124,980307682246
51;0,01;0,15;107,915357423252;123,448206719534
52;0,01;0,15;108,298382568144;122,329757396648
53;0,01;0,15;108,000372840696;127,675058840487
54;0,01;0,15;107,279288962113;122,926805319299
55;0,01;0,15;108,187293317116;121,321577798249
50;0,02;0,15;107,841238926668;125,867887953061
51;0,02;0,15;108,459780556037;121,825359123302
52;0,02;0,15;107,811732527815;119,304985456361
53;0,02;0,15;107,431556236021;121,404287676974
54;0,02;0,15;108,331366224828;125,754653128212
55;0,02;0,15;107,166879440066;126,061483546978
50;0,03;0,15;108,04464575345;123,291752022092
51;0,03;0,15;107,756949733221;121,894047912285
52;0,03;0,15;107,861636107491;128,826768264132
53;0,03;0,15;107,639603959904;121,510560590637
54;0,03;0,15;108,186511424996;122,135846732135
55;0,03;0,15;107,330579566347;119,101599931355
50;0,04;0,15;108,783095058267;122,538283946288
51;0,04;0,15;108,304624339942;122,493897976199
52;0,04;0,15;107,580987988396;124,533437354155
53;0,04;0,15;107,865795420188;125,894456592461
54;0,04;0,15;108,105633688921;128,005787880282
55;0,04;0,15;107,432702118552;126,750685102822
50;0,05;0,15;108,879013236296;123,129730785885
51;0,05;0,15;108,017208594771;119,409450697935
52;0,05;0,15;107,595787618408;125,709439141815
53;0,05;0,15;108,516200865681;122,471451600611
54;0,05;0,15;108,290031839076;121,782270695113
55;0,05;0,15;107,720458984191;124,851740007236
50;0,06;0,15;107,973351416512;122,364759543018
51;0,06;0,15;107,934548624954;127,855485785286
52;0,06;0,15;108,981744796757;126,310091470084
53;0,06;0,15;107,594617277545;124,642325505513
54;0,06;0,15;107,405228669728;123,647912163736
55;0,06;0,15;107,396267356736;125,006963054589
50;0,07;0,15;108,428705784936;120,26162183406
51;0,07;0,15;108,407506304528;120,051041798038
52;0,07;0,15;107,405652855453;122,188909027409
53;0,07;0,15;107,920252183811;123,268214078549
54;0,07;0,15;107,821507498621;130,96246528024
55;0,07;0,15;108,314977492057;124,249083443221
50;0,08;0,15;108,033412133612;125,470820473344
51;0,08;0,15;108,44441077957;124,009604355625
52;0,08;0,15;108,066812282491;123,891302658141
53;0,08;0,15;108,214570528458;124,80639058368
54;0,08;0,15;107,932550734041;123,208085242566
55;0,08;0,15;107,395634138282;120,625973708433
50;0,09;0,15;108,47134945798;119,276364444857
51;0,09;0,15;108,395970687723;121,235968461166
52;0,09;0,15;107,83302659753;125,106781945349
53;0,09;0,15;108,453214223305;120,601051663125
54;0,09;0,15;108,123607610649;125,507566417461
55;0,09;0,15;107,562918479973;121,914062101205
50;0,1;0,15;108,505949540315;123,172470894952
51;0,1;0,15;108,607189104614;125,564109861651
52;0,1;0,15;107,908629854618;124,45611808829
53;0,1;0,15;108,38605077994;122,542607641355
54;0,1;0,15;107,383828812755;123,570822614702
55;0,1;0,15;107,379075074201;121,181625747906
50;0,01;0,16;108,183478351582;124,019297807302
51;0,01;0,16;107,786574484947;121,320119405237
52;0,01;0,16;108,531255536445;127,780738770522
53;0,01;0,16;107,297180089773;126,35956530409
54;0,01;0,16;107,62229248959;122,71860836578
55;0,01;0,16;107,68955496373;127,316232298281
50;0,02;0,16;107,600701436922;121,239823409144
51;0,02;0,16;107,874687084591;131,503305754187
52;0,02;0,16;107,582156721143;124,288281879454
53;0,02;0,16;108,417153895335;128,530814461405
54;0,02;0,16;107,783177524153;130,547244689814
55;0,02;0,16;107,34769092593;127,494258508042
50;0,03;0,16;108,088303464992;122,634884956952
51;0,03;0,16;108,66352087296;129,173624634342
52;0,03;0,16;107,433268323086;127,534131878461
53;0,03;0,16;108,203311575475;122,879297047952
54;0,03;0,16;107,647867272974;128,451641095818
55;0,03;0,16;108,016350626299;136,102919904876
50;0,04;0,16;108,015523831837;123,508962253788
51;0,04;0,16;108,016546445869;122,054784883206
52;0,04;0,16;108,177453420668;125,318100037866
53;0,04;0,16;108,354867079983;126,805071932816
54;0,04;0,16;108,307219888722;130,887928606756
55;0,04;0,16;108,415701064727;123,580169352756
50;0,05;0,16;107,822445276179;124,233252320536
51;0,05;0,16;108,054920202094;124,654291656336
52;0,05;0,16;108,488650627355;121,422100672592
53;0,05;0,16;107,574267441558;127,291462400977
54;0,05;0,16;108,184997894935;125,511146389662
55;0,05;0,16;107,380274029124;128,355691047292
50;0,06;0,16;108,140531715564;123,314743823318
51;0,06;0,16;108,376810627027;127,193633373195
52;0,06;0,16;108,768044514847;125,30552595462
53;0,06;0,16;107,825358943569;124,864400481765
54;0,06;0,16;107,555752686424;121,880675764398
55;0,06;0,16;107,971182019858;124,166589963651
50;0,07;0,16;108,080014127309;128,664818120622
51;0,07;0,16;108,764891249739;130,998458855524
52;0,07;0,16;108,569052264391;124,522285420145
53;0,07;0,16;108,055618079097;121,485313747368
54;0,07;0,16;108,658817195849;122,512147116224
55;0,07;0,16;108,085208069322;121,092171202891
50;0,08;0,16;108,487304979337;130,485181186748
51;0,08;0,16;107,963380710924;123,241793623583
52;0,08;0,16;108,602268399443;125,492453381795
53;0,08;0,16;108,457936437136;124,405729686065
54;0,08;0,16;108,283658627119;123,673797726672
55;0,08;0,16;107,511122202833;129,393042677536
50;0,09;0,16;108,742810015325;124,777768280447
51;0,09;0,16;108,707011804934;120,68928233647
52;0,09;0,16;108,151534798131;127,068457124096
53;0,09;0,16;108,519003807623;125,886866901328
54;0,09;0,16;108,719613130378;124,277743800504
55;0,09;0,16;107,431391162755;122,248705951475
50;0,1;0,16;108,775473933828;127,603681817874
51;0,1;0,16;108,06815081531;119,882432285646
52;0,1;0,16;107,963024493376;127,317264625337
53;0,1;0,16;108,314461156921;123,120105430121
54;0,1;0,16;108,006078240391;125,045501842729
55;0,1;0,16;108,440830656265;127,420144657832
50;0,01;0,17;108,10131471981;127,894064780022
51;0,01;0,17;108,079467226314;126,85163812433
52;0,01;0,17;108,125450510326;124,049575802421
53;0,01;0,17;108,772787861898;122,467526959191
54;0,01;0,17;108,305590667362;124,480965786261
55;0,01;0,17;107,746359109497;126,665873237919
50;0,02;0,17;108,301130074406;130,32991357101
51;0,02;0,17;108,165341836117;132,835376498022
52;0,02;0,17;108,127127320783;127,032296848091
53;0,02;0,17;108,95040667373;127,442772130594
54;0,02;0,17;108,064736707848;130,187181593571
55;0,02;0,17;108,741306485904;129,781420592684
50;0,03;0,17;108,554377540711;123,4159105314
51;0,03;0,17;108,808390301337;125,448729766506
52;0,03;0,17;108,682300123104;127,858877515337
53;0,03;0,17;108,003225488673;130,779683064885
54;0,03;0,17;107,611333492976;130,687477675011
55;0,03;0,17;108,501975300041;132,731904730727
50;0,04;0,17;108,991195744765;129,045041273277
51;0,04;0,17;108,733413713911;128,358487178541
52;0,04;0,17;108,864972123463;129,245935991815
53;0,04;0,17;107,70882830069;125,931813025658
54;0,04;0,17;108,195319243401;124,002991204001
55;0,04;0,17;107,957516808633;126,00960619851
50;0,05;0,17;108,772713479352;125,02966518176
51;0,05;0,17;108,823280591706;129,826042165658
52;0,05;0,17;108,094143291329;124,657303773983
53;0,05;0,17;107,728009169268;122,088434967258
54;0,05;0,17;108,584372459808;125,733444835942
55;0,05;0,17;107,93691265364;126,362863500114
50;0,06;0,17;108,982963354359;128,821839520183
51;0,06;0,17;108,049345550143;128,224916360751
52;0,06;0,17;108,220902001204;130,533803137849
53;0,06;0,17;108,157352753621;128,97794110316
54;0,06;0,17;108,288448686736;124,1598690018
55;0,06;0,17;107,789955032256;129,865512267214
50;0,07;0,17;108,687479407981;126,732651954401
51;0,07;0,17;108,742972100303;126,996594944251
52;0,07;0,17;108,216943000793;128,892191038079
53;0,07;0,17;108,597363485528;129,0776993556
54;0,07;0,17;108,182389040018;125,048856470005
55;0,07;0,17;108,161382897167;131,100746025209
50;0,08;0,17;108,297137136099;119,891848996139
51;0,08;0,17;108,041126169726;127,491640029859
52;0,08;0,17;107,956779219582;127,896519590851
53;0,08;0,17;108,297617139016;124,4422762386
54;0,08;0,17;108,209394256317;124,791674998726
55;0,08;0,17;107,682667125338;130,191319561097
50;0,09;0,17;108,875150405176;128,771909051858
51;0,09;0,17;108,753022861593;128,387079479286
52;0,09;0,17;107,828767235627;130,08466320084
53;0,09;0,17;108,384197262767;128,582678923421
54;0,09;0,17;107,59677474559;126,946942700782
55;0,09;0,17;108,457041690646;129,9491016544
50;0,1;0,17;108,968598309062;125,637881528256
51;0,1;0,17;108,817122060563;128,626790350703
52;0,1;0,17;109,064750959637;129,970050233877
53;0,1;0,17;107,744513958703;126,421771923516
54;0,1;0,17;108,879570060621;129,734881635885
55;0,1;0,17;107,637280893919;126,050808366093
50;0,01;0,18;108,070494379799;126,012737245835
51;0,01;0,18;109,353806620143;127,148993871277
52;0,01;0,18;108,441507820956;123,62558543399
53;0,01;0,18;108,635800621694;128,663554320644
54;0,01;0,18;108,735760708998;127,311692695919
55;0,01;0,18;108,021904856061;135,49272292927
50;0,02;0,18;108,879005652436;130,214979235718
51;0,02;0,18;108,806390974792;120,68353916008
52;0,02;0,18;108,807941805498;130,355640172067
53;0,02;0,18;108,453376683229;127,657986731445
54;0,02;0,18;107,888986854;125,340577026884
55;0,02;0,18;107,454025385273;129,869739800208
50;0,03;0,18;108,352527627266;128,81350979403
51;0,03;0,18;108,260983907783;130,950402504256
52;0,03;0,18;108,690769313365;128,671656177871
53;0,03;0,18;107,506526790697;141,98800195481
54;0,03;0,18;108,377390261952;129,380911247166
55;0,03;0,18;107,703569021637;128,943264990724
50;0,04;0,18;108,645240083533;131,389711923797
51;0,04;0,18;108,204457196471;132,672919642453
52;0,04;0,18;108,863723599816;130,526754141346
53;0,04;0,18;108,634367595306;130,364576810608
54;0,04;0,18;107,788482517131;127,90617552852
55;0,04;0,18;108,588266627805;133,717387428765
50;0,05;0,18;108,08880496139;132,027584769501
51;0,05;0,18;109,091749773547;129,754133440679
52;0,05;0,18;108,825601734098;128,990690597962
53;0,05;0,18;108,194747562292;134,393732391699
54;0,05;0,18;108,512441707903;137,129129809479
55;0,05;0,18;108,26184834589;128,984169765639
50;0,06;0,18;109,732999094104;124,282480419208
51;0,06;0,18;109,159384535034;128,70048946693
52;0,06;0,18;108,702018914696;139,348479118626
53;0,06;0,18;108,5383049891;122,29037254946
54;0,06;0,18;108,209696733123;136,117296647338
55;0,06;0,18;107,76479314426;135,256262910441
50;0,07;0,18;109,225067873525;134,345981917886
51;0,07;0,18;107,803945738292;132,552626737001
52;0,07;0,18;108,745289281284;133,091922094489
53;0,07;0,18;108,452639699828;127,188229959503
54;0,07;0,18;108,283364105314;129,368904767842
55;0,07;0,18;107,710496426013;131,127867667672
50;0,08;0,18;109,410601063439;131,973640700607
51;0,08;0,18;108,246701664705;126,468224357532
52;0,08;0,18;108,979546302947;128,162318320723
53;0,08;0,18;107,593219745081;132,602484386383
54;0,08;0,18;108,502016513563;136,201078417918
55;0,08;0,18;107,530278015908;127,737351558676
50;0,09;0,18;109,104448500231;124,722006319163
51;0,09;0,18;108,926152270808;126,84903182516
52;0,09;0,18;108,721586707292;130,879271465168
53;0,09;0,18;108,753253712612;129,646493404468
54;0,09;0,18;107,790443507641;128,493764493017
55;0,09;0,18;107,777465292387;135,619989640453
50;0,1;0,18;108,923838360481;125,708751141021
51;0,1;0,18;108,902056556222;132,217433515079
52;0,1;0,18;108,212873415147;132,908858466887
53;0,1;0,18;108,652285674624;130,709782663225
54;0,1;0,18;107,720260890999;125,873053205847
55;0,1;0,18;108,683281624283;124,795194936033
50;0,01;0,19;108,027178127773;132,668657569515
51;0,01;0,19;108,610869590142;129,605775657877
52;0,01;0,19;108,946949712365;132,94687886915
53;0,01;0,19;108,055838659283;131,158419173247
54;0,01;0,19;108,486516676073;127,789808776839
55;0,01;0,19;108,533128359362;133,862133306206
50;0,02;0,19;108,550994110438;127,438574613955
51;0,02;0,19;109,081639826247;128,794303494798
52;0,02;0,19;108,708675992019;128,073385616211
53;0,02;0,19;108,336930626948;129,341315912146
54;0,02;0,19;107,760518847866;144,2969411641
55;0,02;0,19;108,556902349989;130,128563658157
50;0,03;0,19;108,882167575191;129,486805524815
51;0,03;0,19;108,879351485257;138,908242881047
52;0,03;0,19;108,422390330716;130,506721168707
53;0,03;0,19;108,517167925021;131,995843824643
54;0,03;0,19;108,669895185219;135,515917872031
55;0,03;0,19;108,028272428231;133,042435246558
50;0,04;0,19;109,052963387369;129,061686152191
51;0,04;0,19;109,095685990712;131,614115589564
52;0,04;0,19;108,647621783738;138,809454125925
53;0,04;0,19;108,88609097492;129,107128190878
54;0,04;0,19;108,297905987729;131,326704679595
55;0,04;0,19;108,424018726063;132,486456113345
50;0,05;0,19;108,106051467248;133,680679782553
51;0,05;0,19;108,757810122064;133,486025242239
52;0,05;0,19;108,758415645937;128,549613926138
53;0,05;0,19;108,708047031628;125,275797737267
54;0,05;0,19;108,239977453861;140,611399705269
55;0,05;0,19;108,399779355476;131,601157216888
50;0,06;0,19;108,659626734222;132,502021902509
51;0,06;0,19;108,713551338903;126,445763564884
52;0,06;0,19;107,967993409157;132,556323036529
53;0,06;0,19;108,417151903146;130,269311101501
54;0,06;0,19;108,269165551978;125,555140872694
55;0,06;0,19;109,113738299389;134,593430642213
50;0,07;0,19;109,058142543733;129,196845061461
51;0,07;0,19;108,500009923127;127,786439793396
52;0,07;0,19;108,278461909253;131,681990623681
53;0,07;0,19;108,621545378293;129,487867232622
54;0,07;0,19;108,553368889227;125,494213771389
55;0,07;0,19;108,492595056295;132,530344429788
50;0,08;0,19;109,113103684417;138,337212511758
51;0,08;0,19;108,911389731197;132,346030323315
52;0,08;0,19;108,920522200645;128,574211777536
53;0,08;0,19;108,510285048659;130,316887855409
54;0,08;0,19;108,166365502475;131,371135593992
55;0,08;0,19;108,410763796449;136,236216534229
50;0,09;0,19;108,282931691424;124,347652854484
51;0,09;0,19;109,336942842251;139,42230513029
52;0,09;0,19;108,659331521772;137,600644764944
53;0,09;0,19;108,631102012912;125,965504493628
54;0,09;0,19;108,808044637846;131,073700983433
55;0,09;0,19;108,389136759762;136,961744823465
50;0,1;0,19;108,460853260585;124,84105683393
51;0,1;0,19;109,441053337695;130,824144938573
52;0,1;0,19;108,752614843488;134,211376203734
53;0,1;0,19;108,895627582245;135,397613466774
54;0,1;0,19;108,285033764038;124,8335282522
55;0,1;0,19;108,175145464096;131,463887917329
50;0,01;0,2;108,943261289919;140,587688749632
51;0,01;0,2;108,816040798349;130,491971842562
52;0,01;0,2;107,955862526945;131,668171031607
53;0,01;0,2;108,668712881649;135,617719297327
54;0,01;0,2;108,328647244921;129,961322351167
55;0,01;0,2;108,37622990247;135,87388817664
50;0,02;0,2;109,126345337725;131,117818901259
51;0,02;0,2;108,701896124124;133,890124094345
52;0,02;0,2;108,377991395053;136,634031674929
53;0,02;0,2;108,494980134144;135,415444906065
54;0,02;0,2;108,419055385407;129,609716894805
55;0,02;0,2;108,216172631991;138,751183725991
50;0,03;0,2;108,522352046794;134,44416547485
51;0,03;0,2;108,576730137213;130,943899948051
52;0,03;0,2;108,481392727731;135,745072986841
53;0,03;0,2;108,521235171628;128,758828649856
54;0,03;0,2;108,464187253902;126,986095066781
55;0,03;0,2;108,170037021103;137,000725985125
50;0,04;0,2;108,253087647213;137,011577270939
51;0,04;0,2;108,960243792148;133,35255911909
52;0,04;0,2;108,11669189434;135,753047030793
53;0,04;0,2;108,414100766664;129,073212140998
54;0,04;0,2;108,336080901352;139,476952751121
55;0,04;0,2;108,131964784009;129,762315590245
50;0,05;0,2;108,672536032943;129,108319716949
51;0,05;0,2;109,127532937329;134,929675288741
52;0,05;0,2;108,576081862376;135,009964833344
53;0,05;0,2;108,47766194762;128,419224794818
54;0,05;0,2;108,888136836988;135,327411531075
55;0,05;0,2;108,288883439851;131,609204476096
50;0,06;0,2;108,424684739567;133,982599648866
51;0,06;0,2;108,859427384933;127,268442765615
52;0,06;0,2;108,303776726377;137,917471726413
53;0,06;0,2;108,68334899786;129,334444977763
54;0,06;0,2;108,192622523387;141,174262697163
55;0,06;0,2;108,296132183716;133,654576831842
50;0,07;0,2;109,225002200295;139,312585411244
51;0,07;0,2;109,041029022102;136,606063349744
52;0,07;0,2;108,948757553483;129,338050615583
53;0,07;0,2;108,438468559211;136,892207556935
54;0,07;0,2;109,455060974204;129,670271121057
55;0,07;0,2;108,464273377809;125,588016779983
50;0,08;0,2;109,162080424221;136,748057389943
51;0,08;0,2;110,256624024493;134,190574351556
52;0,08;0,2;108,691467576063;129,742238977234
53;0,08;0,2;108,26541625731;141,430873443554
54;0,08;0,2;108,51335224308;135,456337919668
55;0,08;0,2;108,140318531846;123,869118471458
50;0,09;0,2;109,116849026021;132,318058413064
51;0,09;0,2;108,283089580142;137,903890288141
52;0,09;0,2;109,600277495129;132,558727946878
53;0,09;0,2;109,249340440757;131,970944994275
54;0,09;0,2;108,150299231821;136,053948359308
55;0,09;0,2;108,071299239166;136,003279281331
50;0,1;0,2;108,987742648712;132,032917218605
51;0,1;0,2;108,679760305905;132,629130916046
52;0,1;0,2;109,169102829444;122,55884527261
53;0,1;0,2;108,562195018036;127,713815434623
54;0,1;0,2;110,202746280093;128,93976547873
55;0,1;0,2;108,737476688067;130,189700355964
